时间,收盘价,信号类型,描述,V7.0.5通过,V705执行动作,黄金信号
2025/8/23 0:00,115568.77,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),多空仓/反手空
2025/8/23 4:00,115799.47,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/23 8:00,115310.13,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/23 12:00,114812.87,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/23 16:00,115133.91,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/23 20:00,115438.05,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/24 0:00,115036,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/24 4:00,114888.19,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/24 8:00,114730.22,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/24 12:00,114400,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/24 16:00,112600,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),黄金/空平反多
2025/8/24 20:00,113493.59,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/8/25 0:00,112916.84,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/25 4:00,111511.55,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/25 8:00,111214.97,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/25 12:00,112200.64,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/25 16:00,110716.13,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/25 20:00,110111.98,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/26 0:00,109879.56,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/26 4:00,110303.2,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),空平仓/反手多
2025/8/26 20:00,111763.22,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/8/27 0:00,111418.15,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/27 4:00,110725.18,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/27 8:00,111322.07,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),多平/反空
2025/8/27 20:00,111262.01,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),多平/反空
2025/8/28 0:00,112000.01,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/28 4:00,113114.11,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/28 8:00,112909.18,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),多空仓/反手空
2025/8/28 12:00,112678.53,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),空平/反多
2025/8/28 16:00,111901.36,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),多平/反空
2025/8/28 20:00,112566.9,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),空平/反多
2025/8/29 16:00,108212.01,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),黄金/空平反多
2025/8/29 20:00,108377.4,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,平空/反手多
2025/8/30 0:00,108436.2,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/8/30 4:00,108524.26,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/8/30 8:00,108680.01,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/30 12:00,108869.98,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/30 16:00,108828.33,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/30 20:00,108816.33,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/31 0:00,109223.84,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/31 4:00,108708.26,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/31 8:00,108389.76,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/8/31 12:00,108818.69,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/8/31 16:00,108930,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/8/31 20:00,108246.35,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/1 12:00,108784.33,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/1 16:00,109217.64,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/1 20:00,109237.42,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/2 0:00,110322.18,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,多平/反空
2025/9/2 4:00,110233.92,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),多平/反空
2025/9/2 8:00,109733.34,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持空
2025/9/2 20:00,111240.01,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/3 0:00,111054.01,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/3 4:00,111099.88,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/3 12:00,112222.74,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/9/3 16:00,112193.74,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/9/3 20:00,111705.71,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/9/4 0:00,111148.97,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),空平/反多
2025/9/4 4:00,110463.36,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/9/4 8:00,110810,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/9/4 12:00,109510.31,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/9/4 16:00,109799.99,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),多平/反空
2025/9/4 20:00,110730.87,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),空平/反多
2025/9/5 0:00,111311.77,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),多平/反空
2025/9/5 4:00,112954.32,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/9/5 8:00,112354,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/5 12:00,110716.82,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/5 16:00,111614.54,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/5 20:00,110659.99,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/6 4:00,110825.6,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),空平/反多
2025/9/6 8:00,110781.02,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/6 12:00,110384.15,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/6 16:00,110038.41,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/6 20:00,110187.97,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/7 0:00,110629.15,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/7 12:00,111329.99,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/7 16:00,111259.99,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/7 20:00,111137.34,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/8 0:00,111052.11,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/9/8 4:00,111280.39,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/9/8 8:00,112052.43,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/8 12:00,112631.75,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/8 16:00,112097.31,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/9/8 20:00,112065.23,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/9/9 0:00,111708,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/9 4:00,112991.11,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/9 8:00,112433.59,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/9 12:00,110880.76,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/9 16:00,111301.53,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/11 4:00,114083.58,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/11 8:00,113999.99,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),多平/反空
2025/9/12 20:00,116029.42,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/13 0:00,115957,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),黄金/多平反空
2025/9/13 4:00,115778.71,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/9/13 8:00,115974.11,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/9/13 12:00,115768.68,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/9/13 16:00,115797.12,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/9/13 20:00,115918.29,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/9/17 8:00,116258.13,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/18 16:00,117450.21,LOW_OSCILLATION,低位震荡,TRUE,做多,继续持空
2025/9/18 20:00,117073.53,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/9/19 0:00,116977.58,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持空
2025/9/19 4:00,116909.97,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),空平/反多
2025/9/19 8:00,116394.72,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/19 12:00,115884.03,BULLISH_SINGULARITY,超强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/19 16:00,115125.12,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/19 20:00,115632.38,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/20 0:00,115445,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/20 4:00,115968.56,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/20 8:00,115894.06,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/20 12:00,115986.69,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/20 16:00,115702,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/20 20:00,115685.63,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/21 0:00,115669.41,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/21 4:00,115815.97,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/21 8:00,115603.45,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/21 12:00,115531.61,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/21 16:00,115480.05,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/21 20:00,115232.29,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/9/22 0:00,114649.89,BULLISH_SINGULARITY,强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/22 12:00,112815.5,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/22 16:00,112122.9,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/22 20:00,112650.99,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/23 8:00,112975.99,BULLISH_SINGULARITY,强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/23 12:00,112882.19,BULLISH_SINGULARITY,强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/9/23 16:00,111655.29,BULLISH_SINGULARITY,强奇点看涨,FALSE,被过滤-不执行,多平/反空
2025/9/23 20:00,111998.8,BULLISH_SINGULARITY,强奇点看涨,TRUE,做空(反向),多平/反空
2025/9/24 12:00,113346.41,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/24 16:00,113420.01,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/24 20:00,113307,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/25 0:00,112546.21,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/9/25 4:00,111766.72,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),空平/反多
2025/9/25 12:00,111580.77,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),空平/反多
2025/9/25 16:00,109360,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/25 20:00,108994.49,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/26 0:00,109580.01,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/26 4:00,109320.02,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/26 16:00,109172.2,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/26 20:00,109643.46,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/27 0:00,109553.77,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/27 4:00,109411.2,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/27 8:00,109310.21,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/27 12:00,109402.24,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/27 16:00,109424.2,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/27 20:00,109635.85,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持多
2025/9/29 8:00,112100,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/9/29 12:00,113815.57,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),多平/反空
2025/9/29 16:00,114265.55,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/9/29 20:00,114311.96,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/9/30 0:00,114376.39,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/9/30 4:00,113699.23,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/9/30 8:00,113055.01,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/9/30 12:00,113106.16,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/9/30 16:00,114359.99,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/9/30 20:00,114048.93,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/1 0:00,114176.92,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/1 4:00,114539.02,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/1 8:00,116789.58,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/1 12:00,117423.73,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/1 16:00,117439.53,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/1 20:00,118594.99,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/2 0:00,118733.99,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/2 4:00,118489.76,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/2 8:00,118765.73,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/2 12:00,119910.78,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/2 16:00,120836.49,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/2 20:00,120529.35,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/3 0:00,120225.89,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/10/3 4:00,119640.21,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/10/3 8:00,120334.5,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/10/3 12:00,122258.05,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/10/3 16:00,122660.99,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/10/3 20:00,122232,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/10/4 4:00,122324.08,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/4 8:00,121973.26,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/4 12:00,121791.31,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/4 16:00,121959.25,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/4 20:00,122391,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/5 0:00,123776.22,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/5 4:00,124713.63,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/5 8:00,123464.64,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/5 12:00,122803.17,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/5 16:00,122591.79,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/5 20:00,123482.31,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/6 0:00,123839.09,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/6 4:00,123390.47,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/6 8:00,124215,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/6 16:00,125410.81,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持空
2025/10/6 20:00,124658.54,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/10/7 0:00,124329.74,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/10/7 4:00,123667.99,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持空
2025/10/7 8:00,124453.38,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),空平/反多
2025/10/7 12:00,121846.01,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,空平/反多
2025/10/7 16:00,121637.17,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/7 20:00,121332.95,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/8 0:00,121374.75,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/8 4:00,121597.06,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/8 8:00,122884.14,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/8 12:00,122189.72,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/8 16:00,123450,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/8 20:00,123306,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/9 0:00,122038.01,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/9 4:00,121906.1,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/9 8:00,122737.57,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/9 12:00,121147.14,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/9 16:00,120951.72,BULLISH_SINGULARITY,奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/9 20:00,121662.4,BULLISH_SINGULARITY,奇点看涨,TRUE,做空(反向),继续持多
2025/10/10 0:00,121026.01,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/10 4:00,120932.05,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/10 8:00,121554.55,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/10 12:00,119018.98,BULLISH_SINGULARITY,超强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/10 16:00,116661.5,BULLISH_SINGULARITY,超强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/10 20:00,112774.5,BULLISH_SINGULARITY,超强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/11 0:00,112300.01,BULLISH_SINGULARITY,超强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/11 4:00,110384.61,BULLISH_SINGULARITY,超强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/11 8:00,112280,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/11 12:00,111793.2,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/11 16:00,111178.31,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/11 20:00,110644.4,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/12 0:00,110676,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/12 4:00,111525.2,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/12 8:00,111848.36,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/12 12:00,113198.2,BULLISH_SINGULARITY,超强奇点看涨,FALSE,被过滤-不执行,继续持多
2025/10/12 16:00,114342.28,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/12 20:00,114958.8,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持多
2025/10/13 0:00,114821.12,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),多平/反空
2025/10/13 4:00,115399.67,BULLISH_SINGULARITY,超强奇点看涨,TRUE,做空(反向),继续持空
2025/10/13 12:00,114312.1,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/13 16:00,115792.84,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/14 8:00,111313.98,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/14 12:00,112900.43,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),空平/反多
2025/10/14 16:00,112613.7,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),多平/反空
2025/10/15 4:00,112584.5,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/15 8:00,111905.73,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/15 12:00,110798.01,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/15 16:00,111271.73,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/15 20:00,110763.28,OSCILLATION,系统平衡,FALSE,观望(震荡不开仓),继续持空
2025/10/16 0:00,111329.48,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/10/16 4:00,110584.2,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),空平/反多
2025/10/16 8:00,111404.72,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/10/16 12:00,108549.21,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/10/16 16:00,108197.66,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/10/16 20:00,108194.28,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/10/17 0:00,109176.74,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
