时间,收盘价,交易量,量能比率,EMA偏离%,张力,加速度,信号类型,置信度,信号描述,交易方向,通过V705过滤器,过滤原因,是否开单
2025/12/2 16:00,87368.92,3361.03567,1.138834084,-0.873707007,0.954840234,-0.00617651,HIGH_OSCILLATION,0.6,高位震荡(T=0.95>0.3),short,FALSE,高位放量(1.14),否
2025/12/2 20:00,90850.01,9300.50019,2.77226108,2.774773387,0.970713608,-0.00656591,HIGH_OSCILLATION,0.6,高位震荡(T=0.97>0.3),short,FALSE,牛市回调(价格>EMA 2.8%),否
2025/12/3 0:00,91903.39,6152.68006,1.702172448,3.575158259,0.974458814,-0.006939881,HIGH_OSCILLATION,0.6,高位震荡(T=0.97>0.3),short,FALSE,牛市回调(价格>EMA 3.6%),否
2025/12/3 4:00,91277.88,4416.96002,1.169110722,2.589775833,0.981269565,-0.007352479,HIGH_OSCILLATION,0.6,高位震荡(T=0.98>0.3),short,FALSE,牛市回调(价格>EMA 2.6%),否
2025/12/3 8:00,92628.91,4425.07634,1.137645651,3.702489441,0.987186907,-0.007740422,HIGH_OSCILLATION,0.6,高位震荡(T=0.99>0.3),short,FALSE,牛市回调(价格>EMA 3.7%),否
2025/12/3 12:00,92999.99,4546.45939,1.117361081,3.7111926,0.999160384,-0.008159798,HIGH_OSCILLATION,0.6,高位震荡(T=1.00>0.3),short,FALSE,牛市回调(价格>EMA 3.7%),否
2025/12/3 16:00,93005.68,2770.10259,0.667225708,3.351620256,1.014203479,-0.0086236,HIGH_OSCILLATION,0.6,高位震荡(T=1.01>0.3),short,FALSE,牛市回调(价格>EMA 3.4%),否
2025/12/3 20:00,92373.3,6523.23972,1.465785052,2.390587857,1.026109901,-0.009127874,HIGH_OSCILLATION,0.6,高位震荡(T=1.03>0.3),short,FALSE,牛市回调(价格>EMA 2.4%),否
2025/12/4 0:00,93024.99,3624.68485,0.804450786,2.808152686,1.03506882,-0.00960953,HIGH_OSCILLATION,0.6,高位震荡(T=1.04>0.3),short,FALSE,牛市回调(价格>EMA 2.8%),否
2025/12/11 20:00,89872.51,3541.05902,1.117791109,-1.41877717,0.612815996,-0.009944274,HIGH_OSCILLATION,0.6,高位震荡(T=0.61>0.3),short,FALSE,高位放量(1.12),否
2025/12/12 0:00,90839.81,3643.99089,1.120381828,-0.323784439,0.581940743,-0.009555416,HIGH_OSCILLATION,0.6,高位震荡(T=0.58>0.3),short,FALSE,高位放量(1.12),否
2025/12/12 4:00,92513.38,4957.1009,1.530370051,1.36655743,0.545735157,-0.009075284,HIGH_OSCILLATION,0.6,高位震荡(T=0.55>0.3),short,FALSE,高位放量(1.53),否
2025/12/12 8:00,92283.4,2164.71329,0.672710907,1.007350475,0.510574346,-0.008596317,HIGH_OSCILLATION,0.6,高位震荡(T=0.51>0.3),short,TRUE,通过V7.0.5,是
2025/12/12 12:00,92425.34,1494.20203,0.467884036,1.050810913,0.473981845,-0.008099176,OSCILLATION,0.8,系统平衡震荡(|T|=0.47<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/12 16:00,92418.19,1624.00539,0.514420582,0.942724487,0.439673753,-0.007589452,OSCILLATION,0.8,系统平衡震荡(|T|=0.44<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/12 20:00,89935.14,5560.13281,1.663920273,-1.603550622,0.415957594,-0.007158323,OSCILLATION,0.8,系统平衡震荡(|T|=0.42<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/13 0:00,90198.22,4659.32825,1.332596552,-1.191906362,0.38986951,-0.006680656,OSCILLATION,0.8,系统平衡震荡(|T|=0.39<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/13 4:00,90268.42,1176.80992,0.355597762,-1.009886835,0.364116779,-0.006171418,OSCILLATION,0.8,系统平衡震荡(|T|=0.36<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/13 8:00,90345.54,648.76329,0.21795443,-0.837928674,0.337483662,-0.005639148,OSCILLATION,0.8,系统平衡震荡(|T|=0.34<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/13 12:00,90329.97,451.53525,0.159129238,-0.774218253,0.30959822,-0.005091435,OSCILLATION,0.8,系统平衡震荡(|T|=0.31<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/13 16:00,90330.36,1525.87319,0.542247034,-0.700611886,0.282421436,-0.004531621,OSCILLATION,0.8,系统平衡震荡(|T|=0.28<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/13 20:00,90092.16,1906.98893,0.671205883,-0.87159888,0.261043401,-0.003980582,OSCILLATION,0.8,系统平衡震荡(|T|=0.26<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/14 0:00,90178.16,675.23738,0.246100413,-0.703496216,0.239503327,-0.003439912,OSCILLATION,0.8,系统平衡震荡(|T|=0.24<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/14 4:00,90240.01,687.30984,0.259170959,-0.575226808,0.218488071,-0.002914863,OSCILLATION,0.8,系统平衡震荡(|T|=0.22<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/14 8:00,90258.98,710.94131,0.294205544,-0.501797973,0.199529449,-0.002413548,OSCILLATION,0.8,系统平衡震荡(|T|=0.20<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/14 12:00,90245.6,689.83584,0.313930869,-0.467582615,0.181492829,-0.001943011,OSCILLATION,0.8,系统平衡震荡(|T|=0.18<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/14 16:00,89360,2036.12797,0.97182352,-1.308562259,0.168951369,-0.00153301,OSCILLATION,0.8,系统平衡震荡(|T|=0.17<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/14 20:00,89022.91,1729.70637,0.835856876,-1.523210096,0.160015773,-0.001164375,OSCILLATION,0.8,系统平衡震荡(|T|=0.16<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/15 0:00,88644.88,1685.20822,0.810802996,-1.759745197,0.153386795,-0.000839957,OSCILLATION,0.8,系统平衡震荡(|T|=0.15<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/15 4:00,88172.17,2565.12033,1.26382611,-2.070639159,0.149787153,-0.000561816,OSCILLATION,0.8,系统平衡震荡(|T|=0.15<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/15 8:00,89282.6,2699.66065,1.361793643,-0.758187312,0.144341811,-0.000286827,OSCILLATION,0.8,系统平衡震荡(|T|=0.14<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/15 12:00,89753.42,1316.93789,0.731460712,-0.21252971,0.13790649,-4.78E-05,OSCILLATION,0.8,系统平衡震荡(|T|=0.14<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/15 16:00,89641.28,1524.38986,0.862013637,-0.305189593,0.128838064,0.000144064,OSCILLATION,0.8,系统平衡震荡(|T|=0.13<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/15 20:00,87033.22,5888.02922,2.961640673,-2.909323928,0.129066183,0.000230336,OSCILLATION,0.8,系统平衡震荡(|T|=0.13<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/16 0:00,86149.96,5789.22914,2.63583095,-3.536851999,0.131206411,0.000287416,OSCILLATION,0.8,系统平衡震荡(|T|=0.13<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/16 4:00,86432.08,2560.44514,1.251210808,-2.923167903,0.126251204,0.000363945,OSCILLATION,0.8,系统平衡震荡(|T|=0.13<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/16 8:00,85875.92,2272.8575,1.179448936,-3.220817971,0.118667987,0.000442077,OSCILLATION,0.8,系统平衡震荡(|T|=0.12<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/16 12:00,86021.51,2433.06768,1.2227311,-2.773699453,0.104119249,0.00055493,OSCILLATION,0.8,系统平衡震荡(|T|=0.10<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/16 16:00,87261.45,2417.24589,1.163095111,-1.243184448,0.080827673,0.000734482,OSCILLATION,0.8,系统平衡震荡(|T|=0.08<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/16 20:00,87977.43,6730.13202,2.813344862,-0.391819392,0.052797321,0.000951368,OSCILLATION,0.8,系统平衡震荡(|T|=0.05<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/17 0:00,87585.77,3497.7582,1.404264531,-0.756310747,0.023869639,0.001167522,OSCILLATION,0.8,系统平衡震荡(|T|=0.02<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/17 4:00,87863.42,1104.98888,0.450884935,-0.399805799,-0.005746736,0.001401015,OSCILLATION,0.8,系统平衡震荡(|T|=0.01<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/17 8:00,87213.59,1179.65134,0.476447359,-1.029321617,-0.033888957,0.001620951,OSCILLATION,0.8,系统平衡震荡(|T|=0.03<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/17 12:00,87045.59,2094.81095,0.822685862,-1.105065749,-0.064564398,0.001851337,OSCILLATION,0.8,系统平衡震荡(|T|=0.06<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/17 16:00,86983.26,1681.2327,0.647918368,-1.065084753,-0.098142037,0.002101406,OSCILLATION,0.8,系统平衡震荡(|T|=0.10<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/17 20:00,87233.44,8132.27731,2.740960964,-0.706718772,-0.136402286,0.002385406,OSCILLATION,0.8,系统平衡震荡(|T|=0.14<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/18 0:00,86018.53,5045.61646,1.618524046,-1.894349122,-0.169062712,0.002655432,OSCILLATION,0.8,系统平衡震荡(|T|=0.17<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/18 4:00,86243.22,1700.52853,0.545747975,-1.484393779,-0.202139407,0.002956079,OSCILLATION,0.8,系统平衡震荡(|T|=0.20<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/18 8:00,86618.34,1716.00096,0.550441537,-0.956294607,-0.236702654,0.003284401,OSCILLATION,0.8,系统平衡震荡(|T|=0.24<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/18 12:00,86833.84,1551.20199,0.505804231,-0.642708006,-0.277021521,0.003640806,OSCILLATION,0.8,系统平衡震荡(|T|=0.28<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/18 16:00,87300.74,1894.81711,0.626062765,-0.098149849,-0.318642547,0.004027873,OSCILLATION,0.8,系统平衡震荡(|T|=0.32<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/18 20:00,88513.44,7315.08784,2.199055239,1.165343322,-0.358365188,0.004442759,OSCILLATION,0.8,系统平衡震荡(|T|=0.36<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/19 0:00,84483.79,9332.10895,2.510754517,-3.122880238,-0.377350789,0.0047207,OSCILLATION,0.8,系统平衡震荡(|T|=0.38<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/19 4:00,85516.41,3596.20078,0.998317117,-1.757379474,-0.397698362,0.005031218,OSCILLATION,0.8,系统平衡震荡(|T|=0.40<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/19 8:00,86891.39,3311.66901,0.952070874,-0.160876211,-0.424484496,0.005376192,OSCILLATION,0.8,系统平衡震荡(|T|=0.42<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/19 12:00,87953.4,3713.59538,1.050212323,0.95752464,-0.455352456,0.005736688,OSCILLATION,0.8,系统平衡震荡(|T|=0.46<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/19 16:00,88198.7,1797.82182,0.511865896,1.119762582,-0.477254465,0.006059073,OSCILLATION,0.8,系统平衡震荡(|T|=0.48<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/19 20:00,87951.87,5988.71834,1.622926695,0.75647668,-0.484913424,0.006301093,OSCILLATION,0.8,系统平衡震荡(|T|=0.48<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/20 0:00,87845.92,4584.61046,1.206971469,0.574268552,-0.480589227,0.006451946,OSCILLATION,0.8,系统平衡震荡(|T|=0.48<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/20 4:00,88136.94,1860.23503,0.523280724,0.820322308,-0.477436315,0.006543761,OSCILLATION,0.8,系统平衡震荡(|T|=0.48<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/20 8:00,88214.98,984.44715,0.287071003,0.822252511,-0.472519333,0.006577506,OSCILLATION,0.8,系统平衡震荡(|T|=0.47<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/20 12:00,88275.41,797.87192,0.233711014,0.805747393,-0.463814429,0.006553455,OSCILLATION,0.8,系统平衡震荡(|T|=0.46<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/20 16:00,88277.66,821.72303,0.241965861,0.730771655,-0.454780428,0.006482664,OSCILLATION,0.8,系统平衡震荡(|T|=0.45<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/20 20:00,88178.71,1315.67537,0.391911573,0.558690169,-0.44114666,0.006358894,OSCILLATION,0.8,系统平衡震荡(|T|=0.44<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/21 0:00,88232.92,574.10491,0.173880787,0.561083191,-0.422974074,0.006183723,OSCILLATION,0.8,系统平衡震荡(|T|=0.42<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/21 4:00,88360.9,629.30956,0.215033352,0.639186492,-0.40118852,0.005958135,OSCILLATION,0.8,系统平衡震荡(|T|=0.40<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/21 8:00,88070.64,991.41687,0.36397534,0.279121242,-0.378109043,0.005682018,OSCILLATION,0.8,系统平衡震荡(|T|=0.38<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/21 12:00,88174.79,455.57319,0.17116455,0.359695409,-0.353079213,0.005367364,OSCILLATION,0.8,系统平衡震荡(|T|=0.35<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/21 16:00,88601.57,1439.81605,0.543778201,0.7643176,-0.328530737,0.005025833,OSCILLATION,0.8,系统平衡震荡(|T|=0.33<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/21 20:00,88067.95,2206.50881,0.823150468,0.142428983,-0.301703229,0.004635091,OSCILLATION,0.8,系统平衡震荡(|T|=0.30<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/22 0:00,88484.01,1240.46771,0.468481446,0.556584098,-0.276529272,0.004229086,OSCILLATION,0.8,系统平衡震荡(|T|=0.28<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/22 4:00,88658.86,799.08995,0.344131506,0.682866659,-0.251575724,0.003800382,OSCILLATION,0.8,系统平衡震荡(|T|=0.25<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/22 8:00,88774.12,2619.97992,1.318931151,0.735687382,-0.227637181,0.003351155,OSCILLATION,0.8,系统平衡震荡(|T|=0.23<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/22 12:00,89170.1,1290.70342,0.689785301,1.070954418,-0.210180306,0.002903345,OSCILLATION,0.8,系统平衡震荡(|T|=0.21<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/22 16:00,89945.43,2622.90199,1.428029198,1.760800551,-0.199558916,0.00247411,OSCILLATION,0.8,系统平衡震荡(|T|=0.20<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/22 20:00,89726.92,3942.72215,2.133294232,1.367464407,-0.186299665,0.00202471,OSCILLATION,0.8,系统平衡震荡(|T|=0.19<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/23 0:00,88052.43,2609.5493,1.381612141,-0.474569454,-0.169476907,0.001521481,OSCILLATION,0.8,系统平衡震荡(|T|=0.17<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/23 4:00,88620.79,1587.36292,0.951255231,0.151836723,-0.161614835,0.001061171,OSCILLATION,0.8,系统平衡震荡(|T|=0.16<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/23 8:00,88170,1505.70483,0.994023222,-0.323660865,-0.146410619,0.000596247,OSCILLATION,0.8,系统平衡震荡(|T|=0.15<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/23 12:00,87574.79,1996.43062,1.31208769,-0.902494141,-0.131002307,0.000124445,OSCILLATION,0.8,系统平衡震荡(|T|=0.13<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/23 16:00,87856.65,1432.37853,0.927727601,-0.528265778,-0.123133265,-0.000309898,OSCILLATION,0.8,系统平衡震荡(|T|=0.12<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/23 20:00,87443.45,3407.99312,2.035266009,-0.902082647,-0.110436197,-0.000735331,OSCILLATION,0.8,系统平衡震荡(|T|=0.11<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/24 0:00,87752.87,3220.82979,1.794908165,-0.499168791,-0.109458615,-0.001114722,OSCILLATION,0.8,系统平衡震荡(|T|=0.11<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/24 4:00,87486,2346.99215,1.271399019,-0.725961805,-0.111443279,-0.001457267,OSCILLATION,0.8,系统平衡震荡(|T|=0.11<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/24 8:00,87336.23,1598.88886,0.842748654,-0.811279374,-0.121846762,-0.001745293,OSCILLATION,0.8,系统平衡震荡(|T|=0.12<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/24 12:00,86911.53,1349.63742,0.698119358,-1.17185809,-0.126546949,-0.001989767,OSCILLATION,0.8,系统平衡震荡(|T|=0.13<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/24 16:00,87203.94,1188.37005,0.611586169,-0.760024141,-0.138593006,-0.002168125,OSCILLATION,0.8,系统平衡震荡(|T|=0.14<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/24 20:00,87049.99,2300.52897,1.130290651,-0.846908095,-0.149688697,-0.002299063,OSCILLATION,0.8,系统平衡震荡(|T|=0.15<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/25 0:00,87566.06,1746.44928,0.85164627,-0.2344687,-0.155936665,-0.002375775,OSCILLATION,0.8,系统平衡震荡(|T|=0.16<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/25 4:00,87669.45,956.96862,0.481324732,-0.105574536,-0.168302576,-0.002423523,OSCILLATION,0.8,系统平衡震荡(|T|=0.17<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/25 8:00,87840.42,652.86225,0.333294116,0.080730652,-0.186662276,-0.002425759,OSCILLATION,0.8,系统平衡震荡(|T|=0.19<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/25 12:00,87837.59,568.68423,0.29203776,0.070119571,-0.207456559,-0.002381668,OSCILLATION,0.8,系统平衡震荡(|T|=0.21<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/25 16:00,87519.44,1203.75216,0.641492907,-0.264569009,-0.230218445,-0.002297151,OSCILLATION,0.8,系统平衡震荡(|T|=0.23<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/25 20:00,88371.27,1933.47252,1.013019082,0.63847699,-0.267234315,-0.002113387,OSCILLATION,0.8,系统平衡震荡(|T|=0.27<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/26 0:00,88151.18,1039.54656,0.568227078,0.350769063,-0.308748657,-0.001860793,OSCILLATION,0.8,系统平衡震荡(|T|=0.31<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/26 4:00,87225.27,1698.26463,0.988953912,-0.636728576,-0.350454563,-0.001556204,OSCILLATION,0.8,系统平衡震荡(|T|=0.35<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/26 8:00,88844.87,4964.62578,2.705537061,1.091922081,-0.402785275,-0.001103851,OSCILLATION,0.8,系统平衡震荡(|T|=0.40<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/26 12:00,88470.75,3154.47608,1.648672701,0.602397785,-0.454349247,-0.000595693,OSCILLATION,0.8,系统平衡震荡(|T|=0.45<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/26 16:00,88533.42,1250.32549,0.657867352,0.609112445,-0.508689447,-1.66E-05,LOW_OSCILLATION,0.6,低位震荡(T=-0.51<-0.3),long,TRUE,通过V7.0.5,是
2025/12/26 20:00,87137.81,5932.37434,2.828481095,-0.884643815,-0.553677495,0.000572849,LOW_OSCILLATION,0.6,低位震荡(T=-0.55<-0.3),long,TRUE,通过V7.0.5,是
2025/12/27 0:00,87501.83,1940.76351,0.914251172,-0.42596043,-0.598689723,0.001231595,LOW_OSCILLATION,0.6,低位震荡(T=-0.60<-0.3),long,TRUE,通过V7.0.5,是
2025/12/27 4:00,87369.56,1102.04985,0.548968181,-0.521862837,-0.642849503,0.00192963,LOW_OSCILLATION,0.6,低位震荡(T=-0.64<-0.3),long,TRUE,通过V7.0.5,是
2025/12/27 8:00,87514.22,675.35016,0.359186939,-0.32324961,-0.68967659,0.002675428,LOW_OSCILLATION,0.6,低位震荡(T=-0.69<-0.3),long,TRUE,通过V7.0.5,是
2025/12/27 12:00,87539.26,515.35353,0.28812636,-0.266734991,-0.736289596,0.003458515,LOW_OSCILLATION,0.6,低位震荡(T=-0.74<-0.3),long,TRUE,通过V7.0.5,是
2025/12/27 16:00,87475.98,1077.75463,0.61146406,-0.306659199,-0.773464951,0.004249872,LOW_OSCILLATION,0.6,低位震荡(T=-0.77<-0.3),long,TRUE,通过V7.0.5,是
2025/12/27 20:00,87551.25,749.39054,0.432531636,-0.199882772,-0.809106252,0.005044011,LOW_OSCILLATION,0.6,低位震荡(T=-0.81<-0.3),long,TRUE,通过V7.0.5,是
2025/12/28 0:00,87569.39,566.59122,0.332999201,-0.162165437,-0.853988437,0.00586142,LOW_OSCILLATION,0.6,低位震荡(T=-0.85<-0.3),long,TRUE,通过V7.0.5,是
2025/12/28 4:00,87877.01,885.11148,0.542777305,0.170564065,-0.898055925,0.006702382,LOW_OSCILLATION,0.6,低位震荡(T=-0.90<-0.3),long,TRUE,通过V7.0.5,是
2025/12/28 8:00,87740.01,672.08653,0.426183072,0.013026991,-0.935085809,0.007528976,LOW_OSCILLATION,0.6,低位震荡(T=-0.94<-0.3),long,TRUE,通过V7.0.5,是
2025/12/28 12:00,87730.85,442.23022,0.285079312,0.002339433,-0.966860377,0.008331781,LOW_OSCILLATION,0.6,低位震荡(T=-0.97<-0.3),long,TRUE,通过V7.0.5,是
2025/12/28 16:00,87883.25,760.04376,0.488267843,0.15926262,-0.991682651,0.00909529,LOW_OSCILLATION,0.6,低位震荡(T=-0.99<-0.3),long,TRUE,通过V7.0.5,是
2025/12/28 20:00,87836.27,821.25662,0.523346401,0.095641977,-1.009499016,0.009799807,LOW_OSCILLATION,0.6,低位震荡(T=-1.01<-0.3),long,TRUE,通过V7.0.5,是
2026/1/1 8:00,87846.02,833.74412,0.360443705,-0.231208437,-0.685119821,0.009810169,LOW_OSCILLATION,0.6,低位震荡(T=-0.69<-0.3),long,TRUE,通过V7.0.5,是
2026/1/1 12:00,87631.88,1108.52485,0.476766578,-0.429424175,-0.654885314,0.009323044,LOW_OSCILLATION,0.6,低位震荡(T=-0.65<-0.3),long,TRUE,通过V7.0.5,是
2026/1/1 16:00,88024.64,819.82493,0.385232966,0.015239774,-0.646173964,0.0089331,LOW_OSCILLATION,0.6,低位震荡(T=-0.65<-0.3),long,TRUE,通过V7.0.5,是
2026/1/1 20:00,88032.18,1005.89204,0.502124314,0.021539054,-0.622915842,0.008515832,LOW_OSCILLATION,0.6,低位震荡(T=-0.62<-0.3),long,TRUE,通过V7.0.5,是
2026/1/2 0:00,88391.15,1140.33499,0.623184561,0.388344341,-0.599195633,0.008120749,LOW_OSCILLATION,0.6,低位震荡(T=-0.60<-0.3),long,TRUE,通过V7.0.5,是
2026/1/2 4:00,88839.04,1371.2504,0.811632749,0.810901973,-0.58473298,0.007787834,LOW_OSCILLATION,0.6,低位震荡(T=-0.58<-0.3),long,TRUE,通过V7.0.5,是
2026/1/2 8:00,88950.65,1615.06136,0.95151091,0.847504977,-0.579746266,0.00752508,LOW_OSCILLATION,0.6,低位震荡(T=-0.58<-0.3),long,TRUE,通过V7.0.5,是
2026/1/2 12:00,88857.61,1190.3172,0.705384016,0.6708784,-0.592246607,0.007375281,LOW_OSCILLATION,0.6,低位震荡(T=-0.59<-0.3),long,TRUE,通过V7.0.5,是
2026/1/2 16:00,89502.95,3334.56621,1.875275724,1.266797188,-0.614280405,0.00735565,LOW_OSCILLATION,0.6,低位震荡(T=-0.61<-0.3),long,TRUE,通过V7.0.5,是
2026/1/2 20:00,89418.11,4573.8437,2.341974117,1.058121001,-0.631412567,0.007403334,LOW_OSCILLATION,0.6,低位震荡(T=-0.63<-0.3),long,TRUE,通过V7.0.5,是
2026/1/3 0:00,89897.23,5155.47201,2.469867595,1.445065168,-0.634388125,0.007490799,LOW_OSCILLATION,0.6,低位震荡(T=-0.63<-0.3),long,TRUE,通过V7.0.5,是
